t = 0,t = 1,t = 2,t = 3,t = 4,t = 5
Raptor_[mTOR]--mTOR_[Raptor],0,0,1,1,1,1
SIN1_[mTOR]--mTOR_[SIN1],0,0,1,1,1,1
TSC1_[Cterminus]--TSC2_[Nterminus],0,0,1,1,1,1
mLST8_[WD40repeats]--mTOR_[LBE],0,0,1,1,1,1
PIPK1alpha_p+_PI_[(5)],0,0,0,1,1,1
Raptor_[BindingMotif]_ppi+_PRAS40_[TOS],0,0,0,1,1,1
SYNJ2_p-_PI_[(5)],0,0,0,1,1,1
TSC2_gap_RHEB_[(G)],0,0,0,1,1,1
PI_[(5)]-{p},0,0,0,0,1,1
PRAS40_[TOS]--Raptor_[BindingMotif],0,0,0,0,1,1
PTEN_p-_PI_[(3)],0,0,0,0,0,1
AKT2_[PH]_i+_PI_[AKT2],0,0,0,0,0,0
AKT2_p+_PPM1G_[(PPP1R3G)],0,0,0,0,0,0
AKT2_p+_PRAS40_[(Thr246)],0,0,0,0,0,0
AKT2_p+_SIN1_[(Thr86)],0,0,0,0,0,0
AKT2_p+_TSC2_[(Ser1130)],0,0,0,0,0,0
AKT2_p+_TSC2_[(Ser939)],0,0,0,0,0,0
AKT2_p+_TSC2_[(Ser981)],0,0,0,0,0,0
AKT2_p+_TSC2_[(Thr1462)],0,0,0,0,0,0
GTP_gef_RHEB_[(G)],0,0,0,0,0,0
INPP4B_p-_PI_[(4)],0,0,0,0,0,0
IRS_[pYMXM]_ppi+_PI3K_[SH2],0,0,0,0,0,0
IR_p+_IRS_[(tyrosines)],0,0,0,0,0,0
PDK1_[PH]_i+_PI_[PDK1],0,0,0,0,0,0
PDK1_p+_AKT2_[(Thr309)],0,0,0,0,0,0
PI3K_p+_PI_[(3)],0,0,0,0,0,0
PIPP_p-_PI_[(5)],0,0,0,0,0,0
RHEB_[switch1]_ppi+_mTOR_[MheatFAT],0,0,0,0,0,0
RHEB_[switch2]_ppi+_mTOR_[MheatNheatFAT],0,0,0,0,0,0
Raptor_[BindingMotif]_ppi-_PRAS40_[TOS],0,0,0,0,0,0
S6K1_p+_IRS_[(hS307)],0,0,0,0,0,0
S6K1_p+_IRS_[(hS527)],0,0,0,0,0,0
S6K1_p+_RICTOR_[(Thr1135)],0,0,0,0,0,0
TSC1_[Cterminus]_ppi-_TSC2_[Nterminus],0,0,0,0,0,0
[Output],0,0,0,0,0,0
insulin_[IR]_ppi+_IR_[insulin],0,0,0,0,0,0
mTOR_p+_AKT2_[(S474)],0,0,0,0,0,0
mTOR_p+_EIF4EBP1_[(Ser65)],0,0,0,0,0,0
mTOR_p+_EIF4EBP1_[(Thr37)],0,0,0,0,0,0
mTOR_p+_EIF4EBP1_[(Thr46)],0,0,0,0,0,0
mTOR_p+_EIF4EBP1_[(Thr70)],0,0,0,0,0,0
mTOR_p+_PRAS40_[(Ser183)],0,0,0,0,0,0
mTOR_p+_PRAS40_[(Ser221)],0,0,0,0,0,0
mTOR_p+_S6K1_[(T389)],0,0,0,0,0,0
protein1433_[PRAS40]_ppi+_PRAS40_[protein1433],0,0,0,0,0,0
AKT2_[(S474)]-{p},0,0,0,0,0,0
AKT2_[(Thr309)]-{p},0,0,0,0,0,0
AKT2_[PH]--PI_[AKT2],0,0,0,0,0,0
EIF4EBP1_[(Ser65)]-{p},0,0,0,0,0,0
EIF4EBP1_[(Thr37)]-{p},0,0,0,0,0,0
EIF4EBP1_[(Thr46)]-{p},0,0,0,0,0,0
EIF4EBP1_[(Thr70)]-{p},0,0,0,0,0,0
