"R0",0
"R1",1
"R2",0
"R3",0
"R4",0
"R5",0
"R6",0
"R7",0
"R8",0
"R9",0
"R10",0
"R11",0
"R12",1
"R13",1
"R14",1
"R15",1
"R16",0
"R17",1
"R18",0
"R19",1
"R20",0
"R21",1
"R22",1
"R23",1
"R24",1
"R25",0
"R26",1
"R27",1
"R28",1
"R29",1
"R30",1
"R31",1
"R32",1
"R33",1
"R34",1
"R35",1
"R36",1
"R37",0
"R38",1
"R39",0
"R40",1
"R41",0
"R42",1
"R43",1
"R44",0
"R45",0
"R46",0
"R47",0
"R48",0
"R49",1
"R50",0
"R51",1
"R52",1
"R53",1
"R54",0
"R55",1
"R56",1
"R57",0
"R58",1
"R59",1
"R60",1
"R61",1
"R62",1
"R63",1
"R64",1
"R65",1
"R66",1
"R67",1
"R68",0
"R69",0
"R70",0
"R71",0
"R72",0
"R73",0
"R74",0
"R75",0
"R76",0
"R77",1
"R78",1
"R79",1
"R80",1
"R81",1
"R82",1
"R83",1
"R84",1
"R85",1
"R86",1
"R87",1
"S0",1
"S1",0
"S2",1
"S3",0
"S4",1
"S5",0
"S6",1
"S7",0
"S8",1
"S9",0
"S10",1
"S11",0
"S12",1
"S13",0
"S14",1
"S15",1
"S16",1
"S17",0
"S18",1
"S19",0
"S20",1
"S21",0
"S22",1
"S23",0
"S24",1
"S25",1
"S26",1
"S27",1
"S28",0
"S29",1
"S30",1
"S31",1
"S32",1
"S33",1
"S34",1
"S35",1
"S36",1
"S37",0
"S38",1
"S39",1
"S40",1
"S41",1
"S42",1
"S43",1
"S44",1
"S45",1
"S46",1
"S47",0
"S48",1
"S49",0
"S50",1
"S51",0
"S52",1
"S53",0
"S54",0
"S55",1
"S56",1
"S57",0
"S58",1
"S59",1
"S60",1
"S61",0
"S62",1
"S63",0
"S64",1
"S65",0
"S66",1
"S67",0
"S68",1
"S69",0
"S70",1
"S71",1
"S72",0
"S73",1
"S74",1
"S75",1
"S76",0
"S77",1
"S78",1
"S79",1
"S80",0
"S81",1
"S82",0
"S83",1
"S84",0
"S85",1
"S86",1
"S87",0
"S88",1
"S89",1
"S90",0
"S91",1
"S92",0
"S93",1
"S94",0
"S95",1
"S96",0
"S97",0
"S98",1
"S99",1
"S100",1
"S101",0
"S102",1
"S103",1
"S104",1
"S105",1
"S106",1
"S107",1
"S108",1
"S109",1
"S110",1
"S111",1
"S112",1
"S113",1
"S114",1
"S115",1
"S116",1
"S117",0
"S118",1
"S119",1
"S120",1
"S121",1
"S122",1
"S123",1
"S124",1
"S125",1
"S126",1
"S127",1
"S128",1
"S129",1
