S59, RHEB_[switch1]--mTOR_[MheatFAT]
S60, RHEB_[switch2]--0
S61, RHEB_[switch2]--mTOR_[MheatNheatFAT]
S62, RICTOR_[(Thr1135)]-{0}
S63, RICTOR_[(Thr1135)]-{p}
S64, RICTOR_[mTOR]--0
S65, RICTOR_[mTOR]--mTOR_[RICTOR]
S66, Raptor_[BindingMotif]--0
S67, Raptor_[mTOR]--0
S68, Raptor_[mTOR]--mTOR_[Raptor]
S69, S6K1_[(T389)]-{0}
S70, S6K1_[(T389)]-{p}
S71, SAC1M1L
S72, SIN1_[(Thr86)]-{0}
S73, SIN1_[(Thr86)]-{p}
S74, SIN1_[mTOR]--0
S75, SIN1_[mTOR]--mTOR_[SIN1]
S76, SYNJ2
S77, TSC1_[Cterminus]--0
S78, TSC1_[Cterminus]--TSC2_[Nterminus]
S79, TSC2_[(Ser1130)]-{0}
S80, TSC2_[(Ser1130)]-{p}
S81, TSC2_[(Ser939)]-{0}
S82, TSC2_[(Ser939)]-{p}
S83, TSC2_[(Ser981)]-{0}
S84, TSC2_[(Ser981)]-{p}
S85, TSC2_[(Thr1462)]-{0}
S86, TSC2_[(Thr1462)]-{p}
S87, TSC2_[Nterminus]--0
S88, [IR]
S89, [activatedIR]
S90, [activatedPI3K]
S91, [insulin]
S92, insulin_[IR]--0
S93, mLST8_[WD40repeats]--0
S94, mLST8_[WD40repeats]--mTOR_[LBE]
S95, mTOR_[LBE]--0
S96, mTOR_[MheatFAT]--0
S97, mTOR_[MheatNheatFAT]--0
S98, mTOR_[RICTOR]--0
S99, mTOR_[Raptor]--0
S100, mTOR_[SIN1]--0
S101, protein1433_[PRAS40]--0
S102, unk1
S103, unk2
S104, unk3
S105, unk4
S106, unk5
S107, unk6
S108, unk7
S109, unk8
S110, unk9
