S43, PI_[PDK1]--0
S44, PP2A
S45, PP5
S46, PPM1G_[(PPP1R3G)]-{0}
S47, PPM1G_[(PPP1R3G)]-{p}
S48, PRAS40_[(Ser183)]-{0}
S49, PRAS40_[(Ser183)]-{p}
S50, PRAS40_[(Ser221)]-{0}
S51, PRAS40_[(Ser221)]-{p}
S52, PRAS40_[(Thr246)]-{0}
S53, PRAS40_[(Thr246)]-{p}
S54, PRAS40_[TOS]--0
S55, PRAS40_[TOS]--Raptor_[TOS]
S56, PRAS40_[protein1433]--0
S57, PRAS40_[protein1433]--protein1433_[PRAS40]
S58, PTEN
S59, PTEN2
S60, RHEB_[(G)]-{0}
S61, RHEB_[(G)]-{gtp}
S62, RHEB_[switch1DSYDPTIEN]--0
S63, RHEB_[switch1DSYDPTIEN]--mTOR_[FATfα2fα3]
S64, RHEB_[switch1]--0
S65, RHEB_[switch1]--mTOR_[Mheatmα2mα3mα4]
S66, RHEB_[switch2GQDEYSIFPQTYSIDIN]--0
S67, RHEB_[switch2GQDEYSIFPQTYSIDIN]--mTOR_[Nheatnα3tonα7]
S68, RICTOR_[(Thr1135)]-{0}
S69, RICTOR_[(Thr1135)]-{p}
S70, RICTOR_[mTOR]--0
S71, RICTOR_[mTOR]--mTOR_[RICTOR]
S72, Raptor_[TOS]--0
S73, Raptor_[mTOR]--0
S74, Raptor_[mTOR]--mTOR_[Raptor]
S75, S6K1_[(T389)]-{0}
S76, S6K1_[(T389)]-{p}
S77, SAC1M1L
S78, SAC3
S79, SIN1_[(Thr398)]-{0}
S80, SIN1_[(Thr398)]-{p}
S81, SIN1_[(Thr86)]-{0}
S82, SIN1_[(Thr86)]-{p}
S83, SIN1_[mTOR]--0
S84, SIN1_[mTOR]--mTOR_[SIN1]
S85, SYNJ2
S86, TMEM55
S87, TSC1_[Cterminus]--0
S88, TSC1_[Cterminus]--TSC2_[Nterminus]
S89, TSC2_[(Ser1130)]-{0}
S90, TSC2_[(Ser1130)]-{p}
S91, TSC2_[(Ser939)]-{0}
S92, TSC2_[(Ser939)]-{p}
S93, TSC2_[(Ser981)]-{0}
S94, TSC2_[(Ser981)]-{p}
S95, TSC2_[(Thr1462)]-{0}
S96, TSC2_[(Thr1462)]-{p}
S97, TSC2_[Nterminus]--0
S98, VPS34
S99, [IR]
S100, [activatedIR]
S101, [activatedPI3K]
S102, [insulin]
S103, insulin_[IR]--0
S104, mLST8_[mTOR]--0
S105, mLST8_[mTOR]--mTOR_[mLST8]
S106, mTOR_[FATfα2fα3]--0
S107, mTOR_[Mheatmα2mα3mα4]--0
S108, mTOR_[Nheatnα3tonα7]--0
S109, mTOR_[RICTOR]--0
S110, mTOR_[Raptor]--0
S111, mTOR_[SIN1]--0
S112, mTOR_[mLST8]--0
S113, phosphoinositide_[(3)]-{0}
S114, phosphoinositide_[(3)]-{p}
S115, phosphoinositide_[(4)]-{0}
S116, phosphoinositide_[(4)]-{p}
S117, phosphoinositide_[(5)]-{0}
S118, phosphoinositide_[(5)]-{p}
S119, protein1433_[PRAS40]--0
S120, unk1
S121, unk10
S122, unk11
S123, unk2
S124, unk3
S125, unk4
S126, unk5
S127, unk6
S128, unk7
S129, unk8
