"R0",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"R1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R4",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"R5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R10",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"R11",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"R12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R13",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R16",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"R17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R18",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"R19",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R20",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"R21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R24",1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
"R25",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"R26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R32",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R33",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R34",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R35",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"R36",1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
