Protein;GeneID
insulin;3630
IR;3643
IRS;3667
PI4K3alpha;5297
PIPK1alpha;8394
SAC1M1L; 22908
SYNJ2;8871
PTEN;5728
PIPP;27124
INPP4B;8821
AKT2;208
PDK1;5163 / 5170
PP2A;5524
PHLPP1;23239
TSC1;7248
TSC2;7249
RHEB;6009
mTOR;2475
Raptor;57521
S6K1;6198
eIF4E;1977
PPM1G;5496
EIF4EBP1;1978
eIF4G;1981
